Id,Label,timeset,v_name,eigencentrality,componentnumber,pageranks,modularity_class,Authority,Hub,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Weighted Degree,Degree
n174,n174,,HCAR2,0.06096,0,0.001046,8,0.009378,0.009378,3,0.504184,0.509682,0,0.100474,5
n175,n175,,HLA-DQB1,0.3755,0,0.003692,8,0.058688,0.058688,3,0.544018,0.582296,2.08294,2.049896,40
n176,n176,,HLA-DRB5,0.277136,0,0.002705,1,0.043245,0.043246,2,0.52967,0.556017,0,0.820836,27
n177,n177,,IFNAR1,0.224439,0,0.002247,8,0.034979,0.03498,3,0.521645,0.542877,0,0.649671,21
n178,n178,,IL22RA2,0.157942,0,0.001796,1,0.024587,0.024587,2,0.51606,0.53112,0,0.640497,15
n179,n179,,IL23R,0.231027,0,0.00249,1,0.035977,0.035977,2,0.525054,0.547718,2.941241,1.011338,23
n180,n180,,IMPACT,0.129928,0,0.001578,2,0.020169,0.02017,3,0.511677,0.524205,0,0.292426,12
n181,n181,,IRF5,0.239824,0,0.002409,1,0.037374,0.037374,2,0.525054,0.547718,0.043499,0.668166,23
n182,n182,,IRF6,0.02629,0,0.000814,0,0.003978,0.003978,3,0.50104,0.503458,0,0.003856,2
n183,n183,,ITGAM,0.120415,0,0.001506,8,0.018659,0.018659,3,0.510593,0.52213,0,0.484567,11
n184,n184,,LINGO1,0.050608,0,0.001154,2,0.007745,0.007745,3,0.505241,0.511757,0,0.873889,6
n185,n185,,LRP2,0.098998,0,0.001345,12,0.015349,0.015349,3,0.508439,0.517981,0,0.276012,9
n186,n186,,MAPT,0.059814,0,0.001046,8,0.009203,0.009203,3,0.504184,0.509682,0,0.123221,5
n187,n187,,MC1R,0.048301,0,0.000966,8,0.007414,0.007414,3,0.503132,0.507607,0,0.065864,4
n188,n188,,MERTK,0.122587,0,0.001502,8,0.019004,0.019004,3,0.510593,0.52213,0,0.373054,11
n189,n189,,MGAT5,0.171952,0,0.001971,12,0.026713,0.026714,3,0.517167,0.534578,0.144904,0.816959,17
n190,n190,,MGMT,0.079139,0,0.001195,8,0.012236,0.012236,3,0.506303,0.513831,0,0.244514,7
n191,n191,,MICB,0.088452,0,0.001284,12,0.013651,0.013651,3,0.507368,0.515906,0.025641,0.320036,8
n192,n192,,MLL,0.185235,0,0.002022,8,0.028863,0.028863,3,0.51828,0.536653,0.228591,0.844425,18
n193,n193,,MMP9,0.281786,0,0.002946,8,0.043988,0.043988,3,0.532009,0.561549,1.26315,1.265063,30
n194,n194,,MYO9B,0.098783,0,0.001515,1,0.015317,0.015317,2,0.511677,0.522822,0,1.209784,11
n195,n195,,NAAA,0.037576,0,0.00089,8,0.005742,0.005742,3,0.502083,0.505533,0,0.04813,3
n196,n196,,NHS,0.299538,0,0.003015,8,0.046757,0.046757,3,0.533186,0.563624,0.739654,1.233892,31
n197,n197,,NLRX1,0.061742,0,0.001049,8,0.009483,0.009483,3,0.504184,0.509682,0,0.079905,5
n198,n198,,NPC2,0.078468,0,0.001331,9,0.012136,0.012136,3,0.507368,0.515906,0,1.284938,8
n199,n199,,NQO1,0.191534,0,0.00236,2,0.029829,0.029829,3,0.522777,0.544952,0.952904,2.134376,22
n200,n200,,PARK7,0.038037,0,0.000893,0,0.005803,0.005803,3,0.502083,0.505533,0,0.019625,3
n201,n201,,PDCD1,0.15426,0,0.001733,2,0.023942,0.023942,3,0.513859,0.528354,0.027027,0.387603,14
n202,n202,,PIAS3,0.04823,0,0.001172,10,0.00738,0.00738,3,0.504184,0.509682,0,1.036337,5
n203,n203,,POU2AF1,0.117447,0,0.00165,11,0.018217,0.018218,3,0.511677,0.524205,0.758503,1.055759,12
n204,n204,,PRKCA,0.264271,0,0.002542,8,0.041236,0.041237,3,0.526201,0.551176,0.019231,1.083881,25
